SKU,Handle,Option1 Name,Option1 Value,WS,RRP
CHSDH100,did-chain-sdh,Type,DID Chain SDH 100,35,60
CHSDH098,did-chain-sdh,Type,DID Chain SDH 98,35,60
CHSDH096,did-chain-sdh,Type,DID Chain SDH 96,35,60
CHD130,did-chain-standard,Type,DID Chain Standard 130,29,44
CHD110,did-chain-standard,Type,DID Chain Standard 110,29,44
CHD106,did-chain-standard,Type,DID Chain Standard 106,29,44
CHD104,did-chain-standard,Type,DID Chain Standard 104,29,44
CHD102,did-chain-standard,Type,DID Chain Standard 102,29,44
CHD100,did-chain-standard,Type,DID Chain Standard 100,29,44
CHD098,did-chain-standard,Type,DID Chain Standard 98,29,44
CHD096,did-chain-standard,Type,DID Chain Standard 96,29,44
CHD094,did-chain-standard,Type,DID Chain Standard 94,29,44
CHD108,did-chain-standard,Type,DID Chain Standard 108,29,44
CHD428-58,did-chain-standard-428-pitch,Type,DID Chain Standard 428 Pitch | 58,42,79
CHD428-56,did-chain-standard-428-pitch,Type,DID Chain Standard 428 Pitch | 56,42,79
WM01,dwt-wheel-beadlock-screw-10mm-oring,Title,Default Title,2,3.5
T.DKM130,dkam-aero-m7-nassau-panel-mount-kit,Title,Default Title,65,75
T.DKAMTS,dkam-camera-tether-stainless-steel-with-3m-sticker,Title,Default Title,10,14
T.DKM108,dkam-carbon-pole-stainless-steel-tether,Title,Default Title,10,13
T.DKM101,dkam-carbon-steel-mount-assembly-long,Title,Default Title,85,99
T.DKM100,dkam-carbon-steel-mount-assembly-short,Title,Default Title,80,99
T.DKM138,dkam-cnc-aluminium-bolt-kit,Title,Default Title,18,20
T.DKM134BLK,dkam-cnc-aluminium-nassau-panel-mount,Type,DKAM CNC Aluminium Nassau Panel Mount Black,20,30
T.DKAM,dkam-d4kam-camera,Title,Default Title,380,400
T.DKSD110,dkam-sd-micro-hc-card-for-d4kam-32gb-with-adaptor,Title,Default Title,25,30
T.DKPH115,gopro-hero-3-3-hero-4-waterproof-housing,Title,Default Title,65,75
T.DKPH118,gopro-hero-5-6-7-waterproof-housing,Title,Default Title,65,75
T.DKPH125,gopro-hero-session-waterproof-housing,Title,Default Title,60,70
KPD220,italsport-kerb-riders,Title,Default Title,80,105
BDHL1S,kartech-brake-line-silver-hydraulic-one-metre,Title,Default Title,11,16
FT02OR,kartech-over-flow-bottle-o-ring,Title,Default Title,4,5
T20,tyre-fitting-wax,Title,Default Title,12,15
BDHC05,kartech-brake-caliper,Type,Kartech Brake Caliper 4 Spot Black - Suits BDH12,410,515
BDHC15,kartech-brake-caliper-bleed-screw-dent,Title,Default Title,8,11
BDHC14B,kartech-brake-caliper-oring,Type,Kartech Brake Caliper Oring - 4 Spot Fits BDHC01  BDHC03 & BDHC04,4,5
BDHC30R,kartech-brake-caliper-piston,Type,Kartech Brake Caliper Piston - Fits BDHC05 4 Spot Self Adjusting Billet Calipers,26,37
BDHC14E,kartech-brake-caliper-seal,Type,Kartech Brake Caliper Seal - Self Adjusting 125 Calipers Between Fluid Gallery,2,3
BDHF46,kartech-brake-line-braided,Type,Kartech Brake Line Braided - 385mm 125 Shifter - Front M|C To T-Piece,40,58
BDHF31,kartech-brake-line-braided-fitting,Type,Kartech Brake Line Braided -  90 Degree Fitting,13,18
BDHF20,kartech-brake-line-fitting,Type,Kartech Brake Line Fitting Springnut,11,16
BDHM04,kartech-brake-master-cylinder,Type,Kartech Brake Master Cylinder X3-AX9 Black Billet Type Dual Outlet,205,289
BDHM31,kartech-brake-master-cylinder-clevis-push-rod-for-billet-master-cylinder,Title,Default Title,11,16
BDHM40,kartech-brake-master-cylinder-piston-bare-suits-both-bdhm-bdhm01,Title,Default Title,12,16
BDHM42,kartech-brake-master-cylinder-piston-circlip,Title,Default Title,4,5
BDHM41,kartech-brake-master-cylinder-piston-spring,Title,Default Title,6,9
BDHM50B,kartech-brake-master-cylinder-diaphragm-fits-single-dual-billet-system,Title,Default Title,35,47
BDHM55B,kartech-brake-master-cylinder-dust-cover-fits-single-dual-billet-system,Title,Default Title,35,47
BDHM20BS,kartech-brake-master-cylinder-lever,Type,Kartech Brake Master Cylinder  Lever Arm Single System Billet,15,24
BDHM45BW,kartech-brake-master-cylinder-lid-white-fits-single-dual-billet-system,Title,Default Title,35,47
BDHM60B,kartech-brake-master-cylinder-reservoir-fits-single-dual-billet-system,Title,Default Title,23,27
BDHM70B,kartech-brake-master-cylinder-reservoir-o-ring-fits-single-dual-billet-system,Title,Default Title,4,5
BDHM141,kartech-brake-master-cylinder-seal,Type,Kartech Brake Master Cylinder Seal Kit - 19mm I.D. X4 | Deadly Cadet,37,42
BDHM14,kartech-brake-master-cylinder-seal-kit,Type,Kartech Brake Master Cylinder Seal - 15mm I.D. BDHM01  02  03L|LG  03R|RG  04,13,16
BDHC27S,kartech-brake-pad-retainer-sleeve,Type,Kartech Brake Pad Retainer Sleeve - 31mm For Billet 2-Spot Caliper,5,6
BDHC27,kartech-brake-pad-retainer-spring,Type,Kartech Brake Pad Return Spring 2 Spot 98 Billet Caliper,5,6
BDHL8F,kartech-brake-pads-10mm-hard-set,Title,Default Title,63,100
BDHL4,kartech-brake-pads-10mm-medium-green-set,Title,Default Title,63,100
BDHL5,kartech-brake-pads-11mm-hard-set,Title,Default Title,69,100
BDHL6,kartech-brake-pads-11mm-ultimate-set,Title,Default Title,63,100
BDHL7,kartech-brake-pads-15mm-hard-set,Title,Default Title,63,100
BDHL7X,kartech-brake-pads-15mm-ultimate-set,Title,Default Title,74,116
BDHC28W,kartech-brake-safety-pin,Type,Kartech Brake Pad Safety Pin Washer 98 2 & 4 Spot Billet Calipers,2,3
BDMSH1.6,kartech-brake-shim,Type,Kartech Brake Shim 2 Spot 1.6mm - For 2 Spot Hydraulic & Mechanical,6,8
BDH08,kartech-brake-system,Type,Katech Brake System 2 Spot Black Side Mount,510,709
BRD19,kartech-brake-disc-radialy-vented-189-x-85-x-18-blue-zinc,Title,Default Title,205,300
BRDFL,kartech-brake-disc-rear-cadet-front-125-lh-160-x-10,Title,Default Title,116,174
KFT26R,kartech-floor-tray-rubber-washer-red-6mm,Title,Default Title,2,3
KFT28R,kartech-floor-tray-washer-c-sunk-red-plastic-6mm,Title,Default Title,1,2
FB250,kartech-fuel-beaker-slim-250cc,Title,Default Title,26,32
FLFL,kartech-fuel-filter,Type,Kartech Fuel Filter Clear-View Inline Conical Type,6,16
THM-B,kartech-hourmeter-lithium-battery-cr2032,Title,Default Title,6,11
KKP12I,kartech-king-pin-caster-adjuster-x5-locater-ball-10mm-king-pin,Title,Default Title,12,16
KKP12H,kartech-king-pin-caster-adjuster-x5-locater-ball-8mm-king-pin,Title,Default Title,12,16
KKP12A,kartech-king-pin-caster-adjuster-x5-offset-8-10mm-king-pin,Title,Default Title,26,42
KPED,kartech-pedal-extension-1-side-only,Title,Default Title,42,53
SPQ65,kartech-sprocket-quick-change,Type,Kartech Sprocket Quick Change 65T,20,40
KSA28S,kartech-stub-axle-king-pin-bearing-spacer-10mm-id,Title,Default Title,4,5
ERWBAT,battery-12volt,Title,Default Title,85,135
BRD12,kartech-brake-disc-radialy-vented-210-100-12-5,Title,Default Title,147,226
BDHL1,kartech-brake-pads-10mm-soft-red-set,Title,Default Title,69,100
BDHL2,kartech-brake-pads-11mm-soft-red-set,Title,Default Title,69,100
BDHL3,kartech-brake-pads-15mm-soft-red-set,Title,Default Title,69,100
T03A,kartech-carburetor-blow-off-gauge-0-1bar-30-psi,Title,Default Title,84,142
T19,kartech-crankshaft-locking-tool-rotax-fr125-piston-stop,Title,Default Title,29,48
SPB11,kartech-engine-sprocket-ktj,Type,Kartech Engine Sprocket Eco 11T Yamaha J | Early KTS Inboard,25,35
SPB09E,kartech-engine-sprocket-kts,Type,Kartech Engine Sprocket Eco 9T Euro|KTSD Outboard,18,25
SPBR12,kartech-engine-sprocket-rotax,Type,Kartech Engine Sprocket Eco 12T Rotax125 Inc Pin | Nut,25,37
FLK20,kartech-fuel-line-kartech-20mt-roll,Title,Default Title,58,90
THM,kartech-digital-hourmeter,Title,Default Title,37,58
CAT1L,kartech-throttle-cable,Type,Kartech Throttle Cable Universal Long 1380mm Outer 1650mm Inner,9,13
T25,kartech-tyre-gauge-2-5in-65mm-dia-2-7-bar-psi,Title,Default Title,47,74
TTGWT,kartech-water-temperature-gauge,Title,Default Title,69,105
SI86C,italsport-transponder-bracket-kit,Title,Default Title,12,15
SI86D,italsport-transponder-bracket-kit-x2,Title,Default Title,12,15
HSB,kartech-heel-support-black-1-only-requires-2-per-kart,Title,Default Title,11,16
SPH50,kartech-sprocket-hub-50mm-generic-black,Title,Default Title,69,95
KBWOR,kartech-water-pump-o-ring-twist-disconnect-type-2-pce,Title,Default Title,10,13
CHGPS,kartech-chain-guard-rear-black-plastic-strip,Title,Default Title,7,10
KCHP30B,kartech-chassis-plug,Type,Kartech Chassis Plug 30mm Black,3,5
EM05,kartech-engine-mount-insulator-cap-black-nylon,Title,Default Title,4,5
EXB06C,kartech-exhaust-support-plastic-r-h-drive-side-2-r-h-for-125,Title,Default Title,8,11
EXB06B,kartech-exhaust-support-plastic-l-h-brake-side,Title,Default Title,9,13
KFT27R,kartech-floor-tray-spacer-clear-nylon-6mm,Title,Default Title,2,3
